name,id,popularity,followers,genres,spotify_url
Hidde van Wee,3BhQ6qO6Y8Pxbok6yUWRwH,25,2375,,https://open.spotify.com/artist/3BhQ6qO6Y8Pxbok6yUWRwH
Motor City Drum Ensemble,4TlzX7s6kuZDtiBpsopcBf,36,91014,"jazz house, deep house, lo-fi house, chicago house, disco house, funky house",https://open.spotify.com/artist/4TlzX7s6kuZDtiBpsopcBf
Move D,3hwmrS8MSceZwnZYvZFf97,36,45569,"dub techno, jazz house, lo-fi house",https://open.spotify.com/artist/3hwmrS8MSceZwnZYvZFf97
Elliot Schooling,6kxjV47PkAw81io31d6OWu,37,2246,,https://open.spotify.com/artist/6kxjV47PkAw81io31d6OWu
Naomi Sharon,27WVFBOddxovimxMmBN4fb,59,120108,afro house,https://open.spotify.com/artist/27WVFBOddxovimxMmBN4fb
De Losse Flodders,2qXygCiNjwZZdrcBQfor46,28,1530,,https://open.spotify.com/artist/2qXygCiNjwZZdrcBQfor46
Partiboi69,0CutULGVZ24wOr1HHYoEOL,47,78585,"g-house, miami bass, hard house",https://open.spotify.com/artist/0CutULGVZ24wOr1HHYoEOL
AMÉMÉ,1txb9Qg5lJ3KATxPcIYyvO,51,27016,"afro house, latin house, tribal house, organic house",https://open.spotify.com/artist/1txb9Qg5lJ3KATxPcIYyvO
DJEFF,7h1PMdIjUn3sZM2sNz0SD4,34,20161,"afro house, kuduro, tribal house",https://open.spotify.com/artist/7h1PMdIjUn3sZM2sNz0SD4
Eli Verveine,3NmUSVxhwFwOWjjyMfGftW,0,17,,https://open.spotify.com/artist/3NmUSVxhwFwOWjjyMfGftW
Frank Wiedemann,1gbnoyNZEf6K9HytIv1D94,47,19944,,https://open.spotify.com/artist/1gbnoyNZEf6K9HytIv1D94
Jaden Thompson,0mdzsyApmam6OqNr4Z3vKQ,31,10651,tech house,https://open.spotify.com/artist/0mdzsyApmam6OqNr4Z3vKQ
Kristian Benedikt,2A067ML6fdiDthdrEj02Od,3,20,opera,https://open.spotify.com/artist/2A067ML6fdiDthdrEj02Od
Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf,57,687380,"techno, acid techno, hard techno, tekno",https://open.spotify.com/artist/5Ho1vKl1Uz8bJlk4vbmvmf
Adam Beyer,1btv9qmIpbp7q1ixCYNdHu,55,351094,"techno, minimal techno, acid techno, tech house",https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu
